ticker,next_day_forecast,next_n_days_forecast,max_n_days_forecast,min_n_days_forecast,avg_n_days_forecast,mse,mape,current_price,current_rsi,model_type,gain_per_share,baseline_shares_purchased,baseline_total_gain
NG,10.716200828552246,"[10.716200828552246, 10.62865924835205, 10.618212699890137, 10.549201965332031, 10.548425674438477, 10.537603378295898, 10.549417495727539, 10.540056228637695, 10.513301849365234, 10.490547180175781, 10.475448608398438, 10.40493106842041, 10.398354530334473, 10.356258392333984, 10.395492553710938, 10.429069519042969, 10.493332862854004, 10.492005348205566, 10.49575424194336, 10.503959655761719]",10.716200828552246,10.356258392333984,10.506811666488648,1.182786893573029,8.875899998533058,10.770000457763672,61.20879811864129,timesfm,-0.2631887912750237,92.0,-23.486967733383114
SABR,1.2655251026153564,"[1.2655251026153564, 0.6165153980255127, 0.8233898878097534, -0.12891721725463867, -0.5207431316375732, -0.153839111328125, 0.10329771041870117, 1.2590835094451904, 0.8844927549362183, 0.7062764167785645, 1.1887319087982178, 0.6637191772460938, 1.1895947456359863, 0.6613543033599854, 0.8537465333938599, 1.7953952550888062, 2.0223612785339355, 0.7392690181732178, 0.42616796493530273, -0.12936735153198242]",2.0223612785339355,-0.5207431316375732,0.7133027076721191,0.2885231635885743,37.20989766605608,0.9779999852180481,34.742229379951794,timesfm,-0.264697277545929,1022.0,-262.40499912238124
GGB,4.052275657653809,"[4.052275657653809, 3.9854164123535156, 3.9999594688415527, 3.9605541229248047, 3.943171977996826, 3.9123363494873047, 3.9420690536499023, 3.976731777191162, 3.9505374431610107, 3.898341417312622, 3.9079060554504395, 3.8597238063812256, 3.851436138153076, 3.813732385635376, 3.840794563293457, 3.8828682899475098, 3.859422445297241, 3.7899181842803955, 3.8101260662078857, 3.73580265045166]",4.052275657653809,3.73580265045166,3.8986562132835387,0.037642057288121575,3.745132970423324,4.170000076293945,45.192314305246256,timesfm,-0.2713438630104066,239.0,-62.905647761702554
DIDIY,4.479992866516113,"[4.479992866516113, 4.325422286987305, 4.502129077911377, 4.318963527679443, 4.265096664428711, 4.151190757751465, 4.228281021118164, 4.368475437164307, 4.441537857055664, 4.316910266876221, 4.468531131744385, 4.290402412414551, 4.30338191986084, 4.329869270324707, 4.308335304260254, 4.488383769989014, 4.540980815887451, 4.425175189971924, 4.502931118011475, 4.303468227386475]",4.540980815887451,4.151190757751465,4.367972946166992,0.046880255251437575,3.6116143634737314,4.639999866485596,47.87878279953102,timesfm,-0.27202692031860387,215.0,-56.731214232444835
HBI,6.285262107849121,"[6.285262107849121, 6.1428327560424805, 6.2460784912109375, 6.068620681762695, 6.104189872741699, 6.1194305419921875, 6.145118236541748, 6.223103046417236, 6.306288719177246, 6.162269592285156, 6.290892601013184, 6.102792739868164, 6.080092430114746, 6.190732002258301, 6.207119941711426, 6.312445163726807, 6.399702072143555, 6.164351463317871, 6.330842971801758, 6.062443733215332]",6.399702072143555,6.062443733215332,6.1972304582595825,0.03309330064167852,2.3388963287283673,6.46999979019165,53.8461377231703,timesfm,-0.27276933193206787,154.0,-40.746282804012296
SES,1.4940381050109863,"[1.4940381050109863, 1.4143610000610352, 1.43218994140625, 1.4088670015335083, 1.3954524993896484, 1.3438959121704102, 1.3842172622680664, 1.418657660484314, 1.419749140739441, 1.3443244695663452, 1.3412864208221436, 1.3477201461791992, 1.3255207538604736, 1.3075717687606812, 1.3384634256362915, 1.4198939800262451, 1.4013125896453857, 1.3300495147705078, 1.3456087112426758, 1.3145596981048584]",1.4940381050109863,1.3075717687606812,1.3763870000839233,0.06546762036262166,11.898816308784628,1.649999976158142,37.820513457314554,timesfm,-0.27361297607421875,606.0,-160.83517959594727
FUBO,0.9662066102027893,"[0.9662066102027893, 0.867324948310852, 0.9394327998161316, 0.8123970031738281, 0.8240430355072021, 0.8340531587600708, 0.8777858018875122, 1.0009241104125977, 1.0502434968948364, 0.9106209874153137, 1.0109775066375732, 0.8988693356513977, 0.946942925453186, 0.8873730897903442, 0.9891412854194641, 1.109918475151062, 1.2052538394927979, 1.0163087844848633, 1.087841272354126, 1.0302032232284546]",1.2052538394927979,0.8123970031738281,0.9632930845022202,0.6306384026460421,45.18838065983083,1.2400000095367432,6.956515970211356,timesfm,-0.276706925034523,806.0,-216.33500813049076
AMC,0.9958600997924805,"[0.9958600997924805, 0.9691047668457031, 0.9861581325531006, 0.8644230365753174, 0.8431086540222168, 0.8724219799041748, 0.9084722995758057, 1.0287256240844727, 1.0090930461883545, 0.9034337997436523, 0.93003249168396, 0.8381965160369873, 0.8665974140167236, 0.8888957500457764, 0.9083237648010254, 0.991055965423584, 0.9472301006317139, 0.8694438934326172, 0.879230260848999, 0.7710766792297363]",1.0287256240844727,0.7710766792297363,0.91354421377182,0.08895065066656968,18.695330672253945,1.2000000476837158,34.42623495446888,timesfm,-0.2864558339118958,833.0,-231.45917835915088
LYG,5.560604095458984,"[5.560604095458984, 5.555206298828125, 5.644681930541992, 5.295437812805176, 5.414934158325195, 5.403020858764648, 5.399825096130371, 5.4808759689331055, 5.4414262771606445, 5.4087114334106445, 5.53298282623291, 5.334525108337402, 5.405091285705566, 5.393704414367676, 5.4733991622924805, 5.5650529861450195, 5.666670799255371, 5.473207473754883, 5.4864821434021, 5.297881126403809]",5.666670799255371,5.295437812805176,5.461686062812805,0.319062387389306,9.13831076978874,5.75,42.94872441470529,timesfm,-0.288313937187195,173.0,-48.38196179938319
IQ,1.8140145540237427,"[1.8140145540237427, 1.7425813674926758, 1.7841068506240845, 1.1969811916351318, 1.2062928676605225, 1.491908311843872, 1.3785896301269531, 1.4750983715057373, 1.3086473941802979, 1.554884910583496, 1.5658607482910156, 1.337188959121704, 1.4593164920806885, 1.3645122051239014, 1.5800652503967285, 2.0196421146392822, 1.892277717590332, 1.584336519241333, 1.5464451313018799, 1.3056690692901611]",2.0196421146392822,1.1969811916351318,1.530420982837677,0.15476494413394876,14.200891441822439,1.8200000524520874,24.000019073481738,timesfm,-0.2895790696144105,549.0,-154.20954194176204
